   53.00      0.9284      0.2281      0.9298E-01 -0.7196E-01 -0.1148    
   53.50      0.8917      0.2273      0.9418E-01 -0.7503E-01 -0.1171    
   54.00      0.8558      0.2264      0.9535E-01 -0.7819E-01 -0.1195    
   54.50      0.8206      0.2254      0.9651E-01 -0.8144E-01 -0.1220    
   55.00      0.7862      0.2243      0.9764E-01 -0.8478E-01 -0.1244    
   55.50      0.7526      0.2231      0.9876E-01 -0.8822E-01 -0.1269    
   56.00      0.7198      0.2218      0.9984E-01 -0.9175E-01 -0.1295    
   56.50      0.6879      0.2204      0.1009     -0.9539E-01 -0.1320    
   57.00      0.6568      0.2188      0.1019     -0.9913E-01 -0.1347    
   57.50      0.6265      0.2171      0.1029     -0.1030     -0.1373    
   58.00      0.5971      0.2152      0.1039     -0.1069     -0.1401    
   58.50      0.5686      0.2132      0.1048     -0.1110     -0.1428    
   59.00      0.5409      0.2111      0.1057     -0.1151     -0.1456    
   59.50      0.5141      0.2087      0.1066     -0.1194     -0.1485    
   60.00      0.4881      0.2062      0.1074     -0.1238     -0.1514    
   60.50      0.4631      0.2034      0.1082     -0.1282     -0.1543    
   61.00      0.4389      0.2005      0.1089     -0.1328     -0.1573    
   61.50      0.4155      0.1973      0.1096     -0.1376     -0.1603    
   62.00      0.3931      0.1939      0.1102     -0.1424     -0.1634    
   62.50      0.3715      0.1902      0.1107     -0.1473     -0.1665    
   63.00      0.3507      0.1862      0.1112     -0.1523     -0.1697    
   63.50      0.3308      0.1820      0.1116     -0.1574     -0.1729    
   64.00      0.3117      0.1774      0.1120     -0.1626     -0.1761    
   64.50      0.2934      0.1724      0.1122     -0.1679     -0.1794    
   65.00      0.2759      0.1671      0.1124     -0.1733     -0.1826    
   65.50      0.2592      0.1613      0.1125     -0.1787     -0.1859    
   66.00      0.2433      0.1552      0.1125     -0.1842     -0.1892    
   66.50      0.2282      0.1486      0.1124     -0.1896     -0.1925    
   67.00      0.2138      0.1415      0.1121     -0.1951     -0.1957    
   67.50      0.2002      0.1338      0.1118     -0.2006     -0.1989    
   68.00      0.1872      0.1256      0.1113     -0.2060     -0.2020    
   68.50      0.1750      0.1169      0.1107     -0.2113     -0.2051    
   69.00      0.1635      0.1075      0.1099     -0.2164     -0.2080    
   69.50      0.1526      0.9746E-01  0.1090     -0.2214     -0.2108    
   70.00      0.1424      0.8675E-01  0.1079     -0.2260     -0.2134    
   70.50      0.1328      0.7535E-01  0.1067     -0.2304     -0.2157    
   71.00      0.1238      0.6324E-01  0.1053     -0.2343     -0.2178    
   71.50      0.1154      0.5041E-01  0.1037     -0.2377     -0.2195    
   72.00      0.1076      0.3688E-01  0.1019     -0.2404     -0.2208    
   72.50      0.1004      0.2266E-01  0.9998E-01 -0.2424     -0.2217    
   73.00      0.9362E-01  0.7783E-02  0.9784E-01 -0.2435     -0.2220    
   73.50      0.8741E-01 -0.7677E-02  0.9552E-01 -0.2436     -0.2216    
   74.00      0.8168E-01 -0.2364E-01  0.9304E-01 -0.2426     -0.2206    
