   50.00       2.866     -0.2331E-02 -0.1966E-01  0.1670E-01 -0.1409E-01
   50.50       2.804     -0.3132E-02 -0.1777E-01  0.1535E-01 -0.1479E-01
   51.00       2.743     -0.3915E-02 -0.1587E-01  0.1399E-01 -0.1553E-01
   51.50       2.682     -0.4679E-02 -0.1397E-01  0.1260E-01 -0.1630E-01
   52.00       2.621     -0.5422E-02 -0.1208E-01  0.1120E-01 -0.1710E-01
   52.50       2.560     -0.6143E-02 -0.1021E-01  0.9776E-02 -0.1792E-01
   53.00       2.501     -0.6839E-02 -0.8347E-02  0.8336E-02 -0.1876E-01
   53.50       2.441     -0.7510E-02 -0.6504E-02  0.6881E-02 -0.1962E-01
   54.00       2.382     -0.8153E-02 -0.4682E-02  0.5412E-02 -0.2049E-01
   54.50       2.324     -0.8767E-02 -0.2884E-02  0.3931E-02 -0.2138E-01
   55.00       2.267     -0.9352E-02 -0.1112E-02  0.2439E-02 -0.2227E-01
   55.50       2.210     -0.9904E-02  0.6309E-03  0.9386E-03 -0.2317E-01
   56.00       2.154     -0.1042E-01  0.2342E-02 -0.5695E-03 -0.2408E-01
   56.50       2.098     -0.1091E-01  0.4020E-02 -0.2083E-02 -0.2498E-01
   57.00       2.044     -0.1136E-01  0.5662E-02 -0.3600E-02 -0.2589E-01
   57.50       1.990     -0.1177E-01  0.7266E-02 -0.5119E-02 -0.2679E-01
   58.00       1.938     -0.1214E-01  0.8831E-02 -0.6638E-02 -0.2768E-01
   58.50       1.886     -0.1248E-01  0.1035E-01 -0.8155E-02 -0.2857E-01
   59.00       1.835     -0.1277E-01  0.1183E-01 -0.9668E-02 -0.2945E-01
   59.50       1.785     -0.1303E-01  0.1327E-01 -0.1118E-01 -0.3031E-01
   60.00       1.736     -0.1324E-01  0.1466E-01 -0.1268E-01 -0.3117E-01
   60.50       1.689     -0.1341E-01  0.1599E-01 -0.1416E-01 -0.3200E-01
   61.00       1.642     -0.1354E-01  0.1728E-01 -0.1564E-01 -0.3282E-01
   61.50       1.597     -0.1363E-01  0.1852E-01 -0.1711E-01 -0.3362E-01
   62.00       1.552     -0.1367E-01  0.1971E-01 -0.1856E-01 -0.3440E-01
   62.50       1.509     -0.1367E-01  0.2083E-01 -0.1999E-01 -0.3517E-01
   63.00       1.466     -0.1363E-01  0.2191E-01 -0.2141E-01 -0.3590E-01
   63.50       1.425     -0.1354E-01  0.2292E-01 -0.2280E-01 -0.3662E-01
   64.00       1.385     -0.1341E-01  0.2387E-01 -0.2417E-01 -0.3731E-01
   64.50       1.346     -0.1324E-01  0.2476E-01 -0.2552E-01 -0.3798E-01
   65.00       1.308     -0.1303E-01  0.2559E-01 -0.2685E-01 -0.3862E-01
   65.50       1.271     -0.1278E-01  0.2635E-01 -0.2815E-01 -0.3923E-01
   66.00       1.235     -0.1249E-01  0.2704E-01 -0.2943E-01 -0.3982E-01
   66.50       1.200     -0.1216E-01  0.2766E-01 -0.3068E-01 -0.4038E-01
   67.00       1.167     -0.1180E-01  0.2820E-01 -0.3190E-01 -0.4092E-01
   67.50       1.134     -0.1140E-01  0.2867E-01 -0.3309E-01 -0.4142E-01
   68.00       1.102     -0.1096E-01  0.2907E-01 -0.3426E-01 -0.4191E-01
   68.50       1.071     -0.1049E-01  0.2938E-01 -0.3540E-01 -0.4236E-01
   69.00       1.041     -0.9997E-02  0.2962E-01 -0.3650E-01 -0.4279E-01
   69.50       1.012     -0.9471E-02  0.2977E-01 -0.3759E-01 -0.4319E-01
   70.00      0.9841     -0.8920E-02  0.2983E-01 -0.3864E-01 -0.4356E-01
   70.50      0.9568     -0.8346E-02  0.2981E-01 -0.3966E-01 -0.4391E-01
   71.00      0.9303     -0.7751E-02  0.2970E-01 -0.4066E-01 -0.4424E-01
   71.50      0.9046     -0.7138E-02  0.2950E-01 -0.4163E-01 -0.4455E-01
   72.00      0.8797     -0.6510E-02  0.2920E-01 -0.4258E-01 -0.4483E-01
   72.50      0.8555     -0.5870E-02  0.2881E-01 -0.4350E-01 -0.4509E-01
